"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"ohere-technologies","OHERE TECHNOLOGIES LIMITED","OHERE","OHERE|OHERE TECHNOLOGIES LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oilwater-insurance-brokers-l-t-d","Oilwater Insurance Brokers L.t.d","Oilwater Insurance Brokers L.t.d","RBC-533","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"linkpark-technology","LINKPARK TECHNOLOGY NIGERIA LIMITED","OK CASH","LINKPARK TECHNOLOGY NIGERIA LIMITED|OK CASH|PEARL CASH","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"plano-lending","PLANO LENDING LIMITED","OKADANAIRA","OKADALOAN|OKADANAIRA|PLANO LENDING LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"africoinsphere-technologies","AFRICOINSPHERE TECHNOLOGIES LIMITED","OKCOIN","AFRICOINSPHERE TECHNOLOGIES LIMITED|OKCOIN","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"topmost-fintech","TOPMOST FINTECH LIMITED","OKILO LOAN","FLAME LOAN|LOAN PART|OKILO LOAN|POPPOKKET|TOPMOST FINTECH LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"lighting-finance-technology","LIGHTING FINANCE TECHNOLOGY NIGERIA LIMITED","OKILOCASH","LIGHTING FINANCE TECHNOLOGY NIGERIA LIMITED|LUMOSLOAN|OKILOCASH","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"okra-technologies","Okra Technologies Limited","Okra Technologies","Okra Technologies Limited","payment-solution-service-provider","payment-solution-service-provider","NG","nigerian-company","CBN","PSSP","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"naijasync-company","NAIJASYNC COMPANY LIMITED","OLA CREDIT","CHEDDAR APP.|JARA CASH|NAIJASYNC COMPANY LIMITED|OLA CREDIT|OPP CASH","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"olive-monies-express-limitednouveau-mobile","OLIVE MONIES EXPRESS LIMITEDNOUVEAU MOBILE LIMITED","OLIVE MONIES EXPRESS LIMITEDNOUVEAU MOBILE","OLIVE MONIES EXPRESS LIMITEDNOUVEAU MOBILE LIMITED","remittance-imto","remittance-imto","NG","nigerian-company","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"olive-payment-solutions","Olive Payment Solutions Limited","Olive Payment Solutions","Olive Payment Solutions Limited","super-agent","payment-solution-service-provider|payment-terminal-service-provider|super-agent","NG","nigerian-company","CBN","PSSP|PTSP|Super-agent","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"olivepeak-international","Olivepeak International Limited","Olivepeak International","Olivepeak International Limited","super-agent","super-agent","NG","nigerian-company","CBN","Super-agent","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oluwafemi-ayodeji-and-co-insurance-brokers","Oluwafemi Ayodeji & Co. Insurance Brokers Ltd","Oluwafemi Ayodeji & Co. Insurance Brokers","Oluwafemi Ayodeji & Co. Insurance Brokers Ltd|RBC-563","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
